#,Location,Coordinates
1,Airport-skyway,"55.03765134510472, -1.7138647002471277"
2,Airport,"55.0380031124521, -1.709734289070828"
3,Kingston Park,"55.013085021374906, -1.6689824997506324"
4,Kenton Lane,"55.00148283394153, -1.6660893844102314"
5,Eldon Sq,"54.97514749896339, -1.6153630439276734"
6,Blackett St,"54.97431671994149, -1.6143027574221556"
7,Grey St,"54.97342392773039, -1.6130050169388668"
8,Chillingham Road,"54.987069052171144, -1.5774010727625336"
9,Wallsend,"54.99203233661854, -1.5367397368093982"
10,Howdon,"54.99774379754072, -1.5024074642072465"
11,North Shields,"55.00891356707071, -1.4468399015970708"
12,Sandy Lane,"55.04014526721267, -1.5959363285850459"
13,Quorum,"55.020441192607095, -1.5819144365410995"
14,Longbenton,"55.021733703401985, -1.582868699692162"
15,Haddrick's Mill Road,"55.00592625019509, -1.6025232709156643"
16,Jesmond Acorn Road,"54.99249996190452, -1.6041799445764036"
17,St. Mary's Place,"54.97777294308641, -1.6130569704377171"
18,Northumberland St.,"54.975251063291374, -1.6119259139902558"
19,Clayton St.,"54.97277613021352, -1.6158398169388817"
20,Grainger St.,"54.97153866037344, -1.615231284411112"
21,Neville St.,"54.96948804022328, -1.617738267679877"
22,Central Station,"54.9692942725942, -1.6162931692198124"
23,Gateshead Interchange,"54.96300911876907, -1.604076327392188"
24,Trinity Square,"54.962812014920786, -1.6023167984213276"
25,Old Durham Road,"54.95129239645862, -1.595720601598768"
26,Wrekenton,"54.92526495527842, -1.5746898267420808"
27,Blaydon,"54.964902793351285, -1.7128743997520617"
28,Metro Park,"54.961966329813066, -1.677993567310535"
29,Metrocentre Blue,"54.95775899672399, -1.6683713811396332"
30,Team Valley North,"54.94425224176812, -1.6169652940551487"
31,Low Fell,"54.93618399794235, -1.5991815114010022"
32,Felling,"54.949800964550036, -1.5692056997524815"
33,Pelaw,"54.954218186848095, -1.543231211574313"
34,Leam Lane,"54.94082046397067, -1.5445715862583207"
35,Hebburn,"54.974719513965624, -1.519101350754622"
36,Jarrow,"54.97911182791473, -1.466428211000534"
37,Jarrow Bede,"54.981781430625766, -1.4883378325954022"
38,Frederick St.,"54.99090840840786, -1.437465492042934"
39,South Shields Interchange,"54.99808053902326, -1.4322540342353929"
40,King St.,"54.99916032714626, -1.4331482161752167"
41,Prince Edward Road,"54.97325530342006, -1.4088029048880037"
42,Boldon Colliery,"54.94964829798169, -1.457424257176406"
43,York Avenue,"54.96076427276074, -1.487437437443349"
44,Walker,"54.97583916886325, -1.5444624880801885"
45,Wellbeck Road,"54.97575304267181, -1.5614199349310112"
46,Shields Road East,"54.97786153661245, -1.5776253523166637"
47,Shields Road West,"54.976531558787244, -1.5853393848169595"
48,Quayside,"54.96975934183198, -1.604591311481236"
49,Penn St.,"54.96322054789904, -1.6309016881039726"
50,Benwell,"54.97010731474304, -1.6549466672240947"
51,West Road,"54.97664050302293, -1.6545389932903647"
52,Two Ball Lonnen,"54.98667555063844, -1.6624509844106492"
53,Blakelaw,"54.99276289178933, -1.675572371641947"
54,Denton Park,"54.99321855184369, -1.698883701597526"
55,Whickham,"54.94633789360033, -1.6784489304340897"
56,Metrocentre Red,"54.9581121722799, -1.672658283556125"
57,Metrocentre Yellow,"54.95819225520213, -1.665888388552388"
58,Arthur's Hill,"54.97386109838361, -1.6386043517009117"
59,Gallowgate,"54.97416626850197, -1.619281394663195"
60,Haymarket,"54.97788526785169, -1.61297245742204"
61,Gosforth High Street,"55.00507326671185, -1.6205450906530166"
62,Benton,"55.009414301477634, -1.5786775159124842"
63,Forest Hall,"55.02412684811793, -1.5648714529896908"
64,Killingworth,"55.03814907376446, -1.564991288723924"
65,Whitley Bay,"55.0447391386017, -1.444999989384653"
66,Cobalt,"55.020734283157694, -1.5016482457729423"
67,Battle Hill,"55.006555577549626, -1.5182861402857417"
68,Saltmeadows Road,"54.96764265593575, -1.5887707304334757"
69,Team Valley South,"54.92709258285387, -1.61730861678117"
